,day,day_str,hour,hour_str,is_eight,is_eighteen,is_nine,is_seventeen,minute,minute_str,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,volume0,volume1,volume2,volume3,volume4,volume5,week,week_str,weekend,y,volume5_0,volume5_1,volume5_2,volume5_3
49,26,26D,18,18H,0,1,0,0,40,40M,61.0,49.0,52.0,45.0,30.0,57.0,56.0,46.0,47.0,42.0,30.0,33.0,0,0W,0,29.0,56.0,40.0,20.0,29.0
50,26,26D,19,19H,0,0,0,0,0,0M,49.0,52.0,45.0,30.0,57.0,22.0,46.0,47.0,42.0,30.0,33.0,22.0,0,0W,0,31.0,38.0,45.0,20.0,27.0
51,26,26D,19,19H,0,0,0,0,20,20M,52.0,45.0,30.0,57.0,22.0,31.0,47.0,42.0,30.0,33.0,22.0,29.0,0,0W,0,15.0,31.0,32.0,24.0,18.0
52,26,26D,19,19H,0,0,0,0,40,40M,45.0,30.0,57.0,22.0,31.0,34.0,42.0,30.0,33.0,22.0,29.0,31.0,0,0W,0,22.0,37.0,29.0,19.0,13.0
53,26,26D,20,20H,0,0,0,0,0,0M,30.0,57.0,22.0,31.0,34.0,18.0,30.0,33.0,22.0,29.0,31.0,15.0,0,0W,0,19.0,42.0,23.0,19.0,22.0
54,26,26D,20,20H,0,0,0,0,20,20M,57.0,22.0,31.0,34.0,18.0,23.0,33.0,22.0,29.0,31.0,15.0,22.0,0,0W,0,19.0,28.0,32.0,25.0,27.0
55,26,26D,20,20H,0,0,0,0,40,40M,22.0,31.0,34.0,18.0,23.0,20.0,22.0,29.0,31.0,15.0,22.0,19.0,0,0W,0,24.0,35.0,27.0,20.0,17.0
56,26,26D,21,21H,0,0,0,0,0,0M,31.0,34.0,18.0,23.0,20.0,20.0,29.0,31.0,15.0,22.0,19.0,19.0,0,0W,0,14.0,28.0,25.0,15.0,16.0
57,26,26D,21,21H,0,0,0,0,20,20M,34.0,18.0,23.0,20.0,20.0,25.0,31.0,15.0,22.0,19.0,19.0,24.0,0,0W,0,19.0,22.0,28.0,30.0,17.0
58,26,26D,21,21H,0,0,0,0,40,40M,18.0,23.0,20.0,20.0,25.0,15.0,15.0,22.0,19.0,19.0,24.0,14.0,0,0W,0,10.0,23.0,15.0,13.0,17.0
59,26,26D,22,22H,0,0,0,0,0,0M,23.0,20.0,20.0,25.0,15.0,22.0,22.0,19.0,19.0,24.0,14.0,19.0,0,0W,0,10.0,19.0,25.0,18.0,22.0
60,26,26D,22,22H,0,0,0,0,20,20M,20.0,20.0,25.0,15.0,22.0,10.0,19.0,19.0,24.0,14.0,19.0,10.0,0,0W,0,12.0,18.0,21.0,11.0,5.0
61,26,26D,22,22H,0,0,0,0,40,40M,20.0,25.0,15.0,22.0,10.0,12.0,19.0,24.0,14.0,19.0,10.0,10.0,0,0W,0,5.0,16.0,21.0,11.0,4.0
62,26,26D,23,23H,0,0,0,0,0,0M,25.0,15.0,22.0,10.0,12.0,12.0,24.0,14.0,19.0,10.0,10.0,12.0,0,0W,0,3.0,17.0,9.0,8.0,9.0
63,26,26D,23,23H,0,0,0,0,20,20M,15.0,22.0,10.0,12.0,12.0,7.0,14.0,19.0,10.0,10.0,12.0,5.0,0,0W,0,6.0,13.0,12.0,7.0,3.0
64,26,26D,23,23H,0,0,0,0,40,40M,22.0,10.0,12.0,12.0,7.0,3.0,19.0,10.0,10.0,12.0,5.0,3.0,0,0W,0,4.0,10.0,4.0,19.0,1.0
65,27,27D,0,0H,0,0,0,0,0,0M,10.0,12.0,12.0,7.0,3.0,10.0,10.0,10.0,12.0,5.0,3.0,6.0,1,1W,0,12.0,13.0,1.0,13.0,7.0
66,27,27D,0,0H,0,0,0,0,20,20M,12.0,12.0,7.0,3.0,10.0,4.0,10.0,12.0,5.0,3.0,6.0,4.0,1,1W,0,20.0,9.0,6.0,16.0,6.0
67,27,27D,0,0H,0,0,0,0,40,40M,12.0,7.0,3.0,10.0,4.0,22.0,12.0,5.0,3.0,6.0,4.0,12.0,1,1W,0,8.0,9.0,9.0,17.0,14.0
68,27,27D,1,1H,0,0,0,0,0,0M,7.0,3.0,10.0,4.0,22.0,41.0,5.0,3.0,6.0,4.0,12.0,20.0,1,1W,0,5.0,6.0,12.0,5.0,13.0
69,27,27D,1,1H,0,0,0,0,20,20M,3.0,10.0,4.0,22.0,41.0,14.0,3.0,6.0,4.0,12.0,20.0,8.0,1,1W,0,8.0,11.0,6.0,16.0,7.0
70,27,27D,1,1H,0,0,0,0,40,40M,10.0,4.0,22.0,41.0,14.0,10.0,6.0,4.0,12.0,20.0,8.0,5.0,1,1W,0,6.0,2.0,14.0,6.0,6.0
71,27,27D,2,2H,0,0,0,0,0,0M,4.0,22.0,41.0,14.0,10.0,25.0,4.0,12.0,20.0,8.0,5.0,8.0,1,1W,0,7.0,2.0,6.0,9.0,5.0
72,27,27D,2,2H,0,0,0,0,20,20M,22.0,41.0,14.0,10.0,25.0,7.0,12.0,20.0,8.0,5.0,8.0,6.0,1,1W,0,5.0,7.0,10.0,12.0,5.0
73,27,27D,2,2H,0,0,0,0,40,40M,41.0,14.0,10.0,25.0,7.0,13.0,20.0,8.0,5.0,8.0,6.0,7.0,1,1W,0,8.0,8.0,10.0,4.0,6.0
74,27,27D,3,3H,0,0,0,0,0,0M,14.0,10.0,25.0,7.0,13.0,13.0,8.0,5.0,8.0,6.0,7.0,5.0,1,1W,0,9.0,9.0,4.0,8.0,9.0
75,27,27D,3,3H,0,0,0,0,20,20M,10.0,25.0,7.0,13.0,13.0,23.0,5.0,8.0,6.0,7.0,5.0,8.0,1,1W,0,7.0,5.0,8.0,10.0,7.0
76,27,27D,3,3H,0,0,0,0,40,40M,25.0,7.0,13.0,13.0,23.0,15.0,8.0,6.0,7.0,5.0,8.0,9.0,1,1W,0,6.0,9.0,11.0,7.0,10.0
77,27,27D,4,4H,0,0,0,0,0,0M,7.0,13.0,13.0,23.0,15.0,17.0,6.0,7.0,5.0,8.0,9.0,7.0,1,1W,0,16.0,6.0,10.0,8.0,8.0
78,27,27D,4,4H,0,0,0,0,20,20M,13.0,13.0,23.0,15.0,17.0,12.0,7.0,5.0,8.0,9.0,7.0,6.0,1,1W,0,11.0,8.0,14.0,6.0,5.0
79,27,27D,4,4H,0,0,0,0,40,40M,13.0,23.0,15.0,17.0,12.0,38.0,5.0,8.0,9.0,7.0,6.0,16.0,1,1W,0,16.0,7.0,6.0,4.0,11.0
80,27,27D,5,5H,0,0,0,0,0,0M,23.0,15.0,17.0,12.0,38.0,30.0,8.0,9.0,7.0,6.0,16.0,11.0,1,1W,0,6.0,13.0,11.0,10.0,8.0
81,27,27D,5,5H,0,0,0,0,20,20M,15.0,17.0,12.0,38.0,30.0,43.0,9.0,7.0,6.0,16.0,11.0,16.0,1,1W,0,4.0,13.0,20.0,11.0,15.0
82,27,27D,5,5H,0,0,0,0,40,40M,17.0,12.0,38.0,30.0,43.0,6.0,7.0,6.0,16.0,11.0,16.0,6.0,1,1W,0,10.0,6.0,4.0,5.0,9.0
83,27,27D,6,6H,0,0,0,0,0,0M,12.0,38.0,30.0,43.0,6.0,5.0,6.0,16.0,11.0,16.0,6.0,4.0,1,1W,0,12.0,4.0,5.0,2.0,4.0
84,27,27D,6,6H,0,0,0,0,20,20M,38.0,30.0,43.0,6.0,5.0,15.0,16.0,11.0,16.0,6.0,4.0,10.0,1,1W,0,20.0,10.0,9.0,3.0,10.0
85,27,27D,6,6H,0,0,0,0,40,40M,30.0,43.0,6.0,5.0,15.0,14.0,11.0,16.0,6.0,4.0,10.0,12.0,1,1W,0,35.0,13.0,8.0,6.0,13.0
86,27,27D,7,7H,0,0,0,0,0,0M,43.0,6.0,5.0,15.0,14.0,25.0,16.0,6.0,4.0,10.0,12.0,20.0,1,1W,0,56.0,23.0,19.0,10.0,20.0
87,27,27D,7,7H,0,0,0,0,20,20M,6.0,5.0,15.0,14.0,25.0,49.0,6.0,4.0,10.0,12.0,20.0,35.0,1,1W,0,50.0,39.0,24.0,36.0,29.0
88,27,27D,7,7H,0,0,0,0,40,40M,5.0,15.0,14.0,25.0,49.0,70.0,4.0,10.0,12.0,20.0,35.0,56.0,1,1W,0,41.0,44.0,28.0,28.0,38.0
89,27,27D,8,8H,1,0,0,0,0,0M,15.0,14.0,25.0,49.0,70.0,54.0,10.0,12.0,20.0,35.0,56.0,50.0,1,1W,0,60.0,39.0,33.0,40.0,30.0
90,27,27D,8,8H,1,0,0,0,20,20M,14.0,25.0,49.0,70.0,54.0,43.0,12.0,20.0,35.0,56.0,50.0,41.0,1,1W,0,45.0,46.0,35.0,34.0,31.0
91,27,27D,8,8H,1,0,0,0,40,40M,25.0,49.0,70.0,54.0,43.0,70.0,20.0,35.0,56.0,50.0,41.0,60.0,1,1W,0,64.0,49.0,43.0,50.0,53.0
92,27,27D,9,9H,0,0,1,0,0,0M,49.0,70.0,54.0,43.0,70.0,53.0,35.0,56.0,50.0,41.0,60.0,45.0,1,1W,0,58.0,52.0,64.0,58.0,50.0
93,27,27D,9,9H,0,0,1,0,20,20M,70.0,54.0,43.0,70.0,53.0,70.0,56.0,50.0,41.0,60.0,45.0,64.0,1,1W,0,65.0,45.0,71.0,51.0,45.0
94,27,27D,9,9H,0,0,1,0,40,40M,54.0,43.0,70.0,53.0,70.0,61.0,50.0,41.0,60.0,45.0,64.0,58.0,1,1W,0,45.0,48.0,52.0,43.0,51.0
95,27,27D,10,10H,0,0,0,0,0,0M,43.0,70.0,53.0,70.0,61.0,66.0,41.0,60.0,45.0,64.0,58.0,65.0,1,1W,0,50.0,52.0,68.0,52.0,68.0
96,27,27D,10,10H,0,0,0,0,20,20M,70.0,53.0,70.0,61.0,66.0,47.0,60.0,45.0,64.0,58.0,65.0,45.0,1,1W,0,35.0,51.0,66.0,59.0,59.0
97,27,27D,10,10H,0,0,0,0,40,40M,53.0,70.0,61.0,66.0,47.0,53.0,45.0,64.0,58.0,65.0,45.0,50.0,1,1W,0,58.0,47.0,56.0,47.0,56.0
98,27,27D,11,11H,0,0,0,0,0,0M,70.0,61.0,66.0,47.0,53.0,41.0,64.0,58.0,65.0,45.0,50.0,35.0,1,1W,0,31.0,52.0,70.0,49.0,60.0
99,27,27D,11,11H,0,0,0,0,20,20M,61.0,66.0,47.0,53.0,41.0,72.0,58.0,65.0,45.0,50.0,35.0,58.0,1,1W,0,47.0,36.0,54.0,43.0,63.0
100,27,27D,11,11H,0,0,0,0,40,40M,66.0,47.0,53.0,41.0,72.0,35.0,65.0,45.0,50.0,35.0,58.0,31.0,1,1W,0,33.0,36.0,54.0,27.0,57.0
101,27,27D,12,12H,0,0,0,0,0,0M,47.0,53.0,41.0,72.0,35.0,55.0,45.0,50.0,35.0,58.0,31.0,47.0,1,1W,0,34.0,35.0,58.0,35.0,64.0
102,27,27D,12,12H,0,0,0,0,20,20M,53.0,41.0,72.0,35.0,55.0,37.0,50.0,35.0,58.0,31.0,47.0,33.0,1,1W,0,44.0,52.0,47.0,49.0,50.0
103,27,27D,12,12H,0,0,0,0,40,40M,41.0,72.0,35.0,55.0,37.0,42.0,35.0,58.0,31.0,47.0,33.0,34.0,1,1W,0,37.0,48.0,49.0,34.0,53.0
104,27,27D,13,13H,0,0,0,0,0,0M,72.0,35.0,55.0,37.0,42.0,50.0,58.0,31.0,47.0,33.0,34.0,44.0,1,1W,0,57.0,37.0,31.0,43.0,62.0
105,27,27D,13,13H,0,0,0,0,20,20M,35.0,55.0,37.0,42.0,50.0,41.0,31.0,47.0,33.0,34.0,44.0,37.0,1,1W,0,54.0,48.0,55.0,41.0,75.0
106,27,27D,13,13H,0,0,0,0,40,40M,55.0,37.0,42.0,50.0,41.0,68.0,47.0,33.0,34.0,44.0,37.0,57.0,1,1W,0,90.0,54.0,41.0,46.0,98.0
107,27,27D,14,14H,0,0,0,0,0,0M,37.0,42.0,50.0,41.0,68.0,61.0,33.0,34.0,44.0,37.0,57.0,54.0,1,1W,0,54.0,49.0,42.0,64.0,82.0
108,27,27D,14,14H,0,0,0,0,20,20M,42.0,50.0,41.0,68.0,61.0,112.0,34.0,44.0,37.0,57.0,54.0,90.0,1,1W,0,47.0,49.0,64.0,41.0,84.0
109,27,27D,14,14H,0,0,0,0,40,40M,50.0,41.0,68.0,61.0,112.0,65.0,44.0,37.0,57.0,54.0,90.0,54.0,1,1W,0,38.0,44.0,56.0,58.0,81.0
110,27,27D,15,15H,0,0,0,0,0,0M,41.0,68.0,61.0,112.0,65.0,51.0,37.0,57.0,54.0,90.0,54.0,47.0,1,1W,0,39.0,29.0,55.0,41.0,90.0
111,27,27D,15,15H,0,0,0,0,20,20M,68.0,61.0,112.0,65.0,51.0,40.0,57.0,54.0,90.0,54.0,47.0,38.0,1,1W,0,47.0,63.0,78.0,33.0,67.0
112,27,27D,15,15H,0,0,0,0,40,40M,61.0,112.0,65.0,51.0,40.0,41.0,54.0,90.0,54.0,47.0,38.0,39.0,1,1W,0,44.0,33.0,55.0,61.0,71.0
113,27,27D,16,16H,0,0,0,0,0,0M,112.0,65.0,51.0,40.0,41.0,52.0,90.0,54.0,47.0,38.0,39.0,47.0,1,1W,0,58.0,51.0,63.0,48.0,64.0
114,27,27D,16,16H,0,0,0,0,20,20M,65.0,51.0,40.0,41.0,52.0,54.0,54.0,47.0,38.0,39.0,47.0,44.0,1,1W,0,53.0,43.0,66.0,57.0,73.0
115,27,27D,16,16H,0,0,0,0,40,40M,51.0,40.0,41.0,52.0,54.0,61.0,47.0,38.0,39.0,47.0,44.0,58.0,1,1W,0,48.0,44.0,81.0,58.0,48.0
116,27,27D,17,17H,0,0,0,1,0,0M,40.0,41.0,52.0,54.0,61.0,60.0,38.0,39.0,47.0,44.0,58.0,53.0,1,1W,0,52.0,56.0,59.0,52.0,57.0
117,27,27D,17,17H,0,0,0,1,20,20M,41.0,52.0,54.0,61.0,60.0,52.0,39.0,47.0,44.0,58.0,53.0,48.0,1,1W,0,77.0,46.0,48.0,42.0,48.0
118,27,27D,17,17H,0,0,0,1,40,40M,52.0,54.0,61.0,60.0,52.0,59.0,47.0,44.0,58.0,53.0,48.0,52.0,1,1W,0,45.0,47.0,73.0,29.0,38.0
119,27,27D,18,18H,0,1,0,0,0,0M,54.0,61.0,60.0,52.0,59.0,95.0,44.0,58.0,53.0,48.0,52.0,77.0,1,1W,0,30.0,42.0,55.0,36.0,42.0
120,27,27D,18,18H,0,1,0,0,20,20M,61.0,60.0,52.0,59.0,95.0,46.0,58.0,53.0,48.0,52.0,77.0,45.0,1,1W,0,18.0,30.0,32.0,33.0,38.0
121,27,27D,18,18H,0,1,0,0,40,40M,60.0,52.0,59.0,95.0,46.0,31.0,53.0,48.0,52.0,77.0,45.0,30.0,1,1W,0,12.0,33.0,42.0,26.0,26.0
122,27,27D,19,19H,0,0,0,0,0,0M,52.0,59.0,95.0,46.0,31.0,20.0,48.0,52.0,77.0,45.0,30.0,18.0,1,1W,0,40.0,22.0,35.0,21.0,29.0
123,27,27D,19,19H,0,0,0,0,20,20M,59.0,95.0,46.0,31.0,20.0,13.0,52.0,77.0,45.0,30.0,18.0,12.0,1,1W,0,37.0,29.0,54.0,24.0,20.0
124,27,27D,19,19H,0,0,0,0,40,40M,95.0,46.0,31.0,20.0,13.0,46.0,77.0,45.0,30.0,18.0,12.0,40.0,1,1W,0,55.0,31.0,32.0,30.0,17.0
125,27,27D,20,20H,0,0,0,0,0,0M,46.0,31.0,20.0,13.0,46.0,40.0,45.0,30.0,18.0,12.0,40.0,37.0,1,1W,0,47.0,15.0,47.0,18.0,29.0
126,27,27D,20,20H,0,0,0,0,20,20M,31.0,20.0,13.0,46.0,40.0,72.0,30.0,18.0,12.0,40.0,37.0,55.0,1,1W,0,51.0,22.0,21.0,33.0,21.0
127,27,27D,20,20H,0,0,0,0,40,40M,20.0,13.0,46.0,40.0,72.0,54.0,18.0,12.0,40.0,37.0,55.0,47.0,1,1W,0,44.0,19.0,23.0,24.0,12.0
128,27,27D,21,21H,0,0,0,0,0,0M,13.0,46.0,40.0,72.0,54.0,66.0,12.0,40.0,37.0,55.0,47.0,51.0,1,1W,0,34.0,19.0,28.0,18.0,16.0
129,27,27D,21,21H,0,0,0,0,20,20M,46.0,40.0,72.0,54.0,66.0,55.0,40.0,37.0,55.0,47.0,51.0,44.0,1,1W,0,39.0,24.0,30.0,18.0,16.0
130,27,27D,21,21H,0,0,0,0,40,40M,40.0,72.0,54.0,66.0,55.0,46.0,37.0,55.0,47.0,51.0,44.0,34.0,1,1W,0,26.0,14.0,23.0,17.0,17.0
131,27,27D,22,22H,0,0,0,0,0,0M,72.0,54.0,66.0,55.0,46.0,49.0,55.0,47.0,51.0,44.0,34.0,39.0,1,1W,0,26.0,19.0,23.0,18.0,29.0
132,27,27D,22,22H,0,0,0,0,20,20M,54.0,66.0,55.0,46.0,49.0,33.0,47.0,51.0,44.0,34.0,39.0,26.0,1,1W,0,20.0,10.0,16.0,20.0,37.0
133,27,27D,22,22H,0,0,0,0,40,40M,66.0,55.0,46.0,49.0,33.0,40.0,51.0,44.0,34.0,39.0,26.0,26.0,1,1W,0,16.0,10.0,16.0,9.0,30.0
134,27,27D,23,23H,0,0,0,0,0,0M,55.0,46.0,49.0,33.0,40.0,32.0,44.0,34.0,39.0,26.0,26.0,20.0,1,1W,0,12.0,12.0,13.0,7.0,17.0
135,27,27D,23,23H,0,0,0,0,20,20M,46.0,49.0,33.0,40.0,32.0,18.0,34.0,39.0,26.0,26.0,20.0,16.0,1,1W,0,4.0,5.0,15.0,7.0,19.0
