,day,day_str,direction,hour,hour_str,is_eight,is_eighteen,is_nine,is_seventeen,minute,minute_str,time,tollgate_id,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,volume0,volume1,volume2,volume3,volume4,volume5,volume5_0,volume5_1,volume5_2,volume5_3,week,week_str,weekend,y
13,26.0,26D,entry,8.0,8H,1.0,0.0,0.0,0.0,0.0,0M,2016-09-26 04:20:00,1S,22.0,26.0,8.0,5.0,13.0,15.0,13.0,13.0,6.0,4.0,10.0,13.0,10.0,12.0,36.0,8.0,0.0,0W,0.0,49.0
14,26.0,26D,entry,8.0,8H,1.0,0.0,0.0,0.0,20.0,20M,2016-09-26 04:40:00,1S,26.0,8.0,5.0,13.0,15.0,23.0,13.0,6.0,4.0,10.0,13.0,23.0,12.0,17.0,41.0,13.0,0.0,0W,0.0,52.0
15,26.0,26D,entry,8.0,8H,1.0,0.0,0.0,0.0,40.0,40M,2016-09-26 05:00:00,1S,8.0,5.0,13.0,15.0,23.0,49.0,6.0,4.0,10.0,13.0,23.0,39.0,26.0,32.0,75.0,32.0,0.0,0W,0.0,45.0
16,26.0,26D,entry,9.0,9H,0.0,0.0,1.0,0.0,0.0,0M,2016-09-26 05:20:00,1S,5.0,13.0,15.0,23.0,49.0,54.0,4.0,10.0,13.0,23.0,39.0,44.0,20.0,28.0,78.0,39.0,0.0,0W,0.0,48.0
17,26.0,26D,entry,9.0,9H,0.0,0.0,1.0,0.0,20.0,20M,2016-09-26 05:40:00,1S,13.0,15.0,23.0,49.0,54.0,41.0,10.0,13.0,23.0,39.0,44.0,39.0,22.0,41.0,84.0,31.0,0.0,0W,0.0,52.0
18,26.0,26D,entry,9.0,9H,0.0,0.0,1.0,0.0,40.0,40M,2016-09-26 06:00:00,1S,15.0,23.0,49.0,54.0,41.0,48.0,13.0,23.0,39.0,44.0,39.0,46.0,33.0,42.0,95.0,43.0,0.0,0W,0.0,51.0
19,26.0,26D,entry,10.0,10H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 06:20:00,1S,23.0,49.0,54.0,41.0,48.0,58.0,23.0,39.0,44.0,39.0,46.0,49.0,35.0,49.0,122.0,46.0,0.0,0W,0.0,47.0
20,26.0,26D,entry,10.0,10H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 06:40:00,1S,49.0,54.0,41.0,48.0,58.0,55.0,39.0,44.0,39.0,46.0,49.0,52.0,40.0,68.0,126.0,56.0,0.0,0W,0.0,52.0
21,26.0,26D,entry,10.0,10H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 07:00:00,1S,54.0,41.0,48.0,58.0,55.0,48.0,44.0,39.0,46.0,49.0,52.0,45.0,50.0,50.0,77.0,41.0,0.0,0W,0.0,36.0
22,26.0,26D,entry,11.0,11H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 07:20:00,1S,41.0,48.0,58.0,55.0,48.0,53.0,39.0,46.0,49.0,52.0,45.0,48.0,41.0,41.0,49.0,50.0,0.0,0W,0.0,36.0
23,26.0,26D,entry,11.0,11H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 07:40:00,1S,48.0,58.0,55.0,48.0,53.0,57.0,46.0,49.0,52.0,45.0,48.0,52.0,42.0,52.0,55.0,49.0,0.0,0W,0.0,35.0
24,26.0,26D,entry,11.0,11H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 08:00:00,1S,58.0,55.0,48.0,53.0,57.0,61.0,49.0,52.0,45.0,48.0,52.0,51.0,49.0,44.0,53.0,44.0,0.0,0W,0.0,52.0
25,26.0,26D,entry,12.0,12H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 08:20:00,1S,55.0,48.0,53.0,57.0,61.0,51.0,52.0,45.0,48.0,52.0,51.0,47.0,50.0,58.0,36.0,44.0,0.0,0W,0.0,48.0
26,26.0,26D,entry,12.0,12H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 08:40:00,1S,48.0,53.0,57.0,61.0,51.0,56.0,45.0,48.0,52.0,51.0,47.0,52.0,47.0,53.0,57.0,44.0,0.0,0W,0.0,37.0
27,26.0,26D,entry,12.0,12H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 09:00:00,1S,53.0,57.0,61.0,51.0,56.0,42.0,48.0,52.0,51.0,47.0,52.0,36.0,55.0,56.0,37.0,44.0,0.0,0W,0.0,48.0
28,26.0,26D,entry,13.0,13H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 09:20:00,1S,57.0,61.0,51.0,56.0,42.0,47.0,52.0,51.0,47.0,52.0,36.0,36.0,55.0,56.0,32.0,39.0,0.0,0W,0.0,54.0
29,26.0,26D,entry,13.0,13H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 09:40:00,1S,61.0,51.0,56.0,42.0,47.0,42.0,51.0,47.0,52.0,36.0,36.0,35.0,54.0,45.0,27.0,30.0,0.0,0W,0.0,49.0
30,26.0,26D,entry,13.0,13H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 10:00:00,1S,51.0,56.0,42.0,47.0,42.0,65.0,47.0,52.0,36.0,36.0,35.0,52.0,29.0,41.0,32.0,34.0,0.0,0W,0.0,49.0
31,26.0,26D,entry,14.0,14H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 10:20:00,1S,56.0,42.0,47.0,42.0,65.0,51.0,52.0,36.0,36.0,35.0,52.0,48.0,47.0,56.0,45.0,45.0,0.0,0W,0.0,44.0
32,26.0,26D,entry,14.0,14H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 10:40:00,1S,42.0,47.0,42.0,65.0,51.0,41.0,36.0,36.0,35.0,52.0,48.0,37.0,58.0,51.0,42.0,44.0,0.0,0W,0.0,29.0
33,26.0,26D,entry,14.0,14H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 11:00:00,1S,47.0,42.0,65.0,51.0,41.0,54.0,36.0,35.0,52.0,48.0,37.0,48.0,46.0,61.0,38.0,53.0,0.0,0W,0.0,63.0
34,26.0,26D,entry,15.0,15H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 11:20:00,1S,42.0,65.0,51.0,41.0,54.0,63.0,35.0,52.0,48.0,37.0,48.0,54.0,57.0,57.0,44.0,57.0,0.0,0W,0.0,33.0
35,26.0,26D,entry,15.0,15H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 11:40:00,1S,65.0,51.0,41.0,54.0,63.0,53.0,52.0,48.0,37.0,48.0,54.0,49.0,56.0,67.0,41.0,61.0,0.0,0W,0.0,51.0
36,26.0,26D,entry,15.0,15H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 12:00:00,1S,51.0,41.0,54.0,63.0,53.0,54.0,48.0,37.0,48.0,54.0,49.0,49.0,60.0,45.0,51.0,53.0,0.0,0W,0.0,43.0
37,26.0,26D,entry,16.0,16H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 12:20:00,1S,41.0,54.0,63.0,53.0,54.0,47.0,37.0,48.0,54.0,49.0,49.0,44.0,72.0,58.0,53.0,55.0,0.0,0W,0.0,44.0
38,26.0,26D,entry,16.0,16H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 12:40:00,1S,54.0,63.0,53.0,54.0,47.0,34.0,48.0,54.0,49.0,49.0,44.0,29.0,59.0,53.0,43.0,52.0,0.0,0W,0.0,56.0
39,26.0,26D,entry,16.0,16H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 13:00:00,1S,63.0,53.0,54.0,47.0,34.0,70.0,54.0,49.0,49.0,44.0,29.0,63.0,85.0,59.0,54.0,52.0,0.0,0W,0.0,46.0
40,26.0,26D,entry,17.0,17H,0.0,0.0,0.0,1.0,0.0,0M,2016-09-26 13:20:00,1S,53.0,54.0,47.0,34.0,70.0,39.0,49.0,49.0,44.0,29.0,63.0,33.0,65.0,47.0,48.0,48.0,0.0,0W,0.0,47.0
41,26.0,26D,entry,17.0,17H,0.0,0.0,0.0,1.0,20.0,20M,2016-09-26 13:40:00,1S,54.0,47.0,34.0,70.0,39.0,57.0,49.0,44.0,29.0,63.0,33.0,51.0,61.0,66.0,46.0,57.0,0.0,0W,0.0,42.0
42,26.0,26D,entry,17.0,17H,0.0,0.0,0.0,1.0,40.0,40M,2016-09-26 14:00:00,1S,47.0,34.0,70.0,39.0,57.0,49.0,44.0,29.0,63.0,33.0,51.0,43.0,52.0,78.0,49.0,43.0,0.0,0W,0.0,30.0
43,26.0,26D,entry,18.0,18H,0.0,1.0,0.0,0.0,0.0,0M,2016-09-26 14:20:00,1S,34.0,70.0,39.0,57.0,49.0,52.0,29.0,63.0,33.0,51.0,43.0,44.0,70.0,76.0,46.0,42.0,0.0,0W,0.0,33.0
44,26.0,26D,entry,18.0,18H,0.0,1.0,0.0,0.0,20.0,20M,2016-09-26 14:40:00,1S,70.0,39.0,57.0,49.0,52.0,61.0,63.0,33.0,51.0,43.0,44.0,56.0,63.0,86.0,45.0,46.0,0.0,0W,0.0,22.0
45,26.0,26D,entry,18.0,18H,0.0,1.0,0.0,0.0,40.0,40M,2016-09-26 15:00:00,1S,39.0,57.0,49.0,52.0,61.0,49.0,33.0,51.0,43.0,44.0,56.0,46.0,73.0,44.0,46.0,55.0,0.0,0W,0.0,29.0
46,26.0,26D,entry,19.0,19H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 15:20:00,1S,57.0,49.0,52.0,61.0,49.0,52.0,51.0,43.0,44.0,56.0,46.0,47.0,63.0,45.0,47.0,36.0,0.0,0W,0.0,31.0
47,26.0,26D,entry,19.0,19H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 15:40:00,1S,49.0,52.0,61.0,49.0,52.0,45.0,43.0,44.0,56.0,46.0,47.0,42.0,49.0,38.0,35.0,34.0,0.0,0W,0.0,15.0
48,26.0,26D,entry,19.0,19H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 16:00:00,1S,52.0,61.0,49.0,52.0,45.0,30.0,44.0,56.0,46.0,47.0,42.0,30.0,42.0,46.0,20.0,24.0,0.0,0W,0.0,22.0
49,26.0,26D,entry,20.0,20H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 16:20:00,1S,61.0,49.0,52.0,45.0,30.0,57.0,56.0,46.0,47.0,42.0,30.0,33.0,56.0,40.0,20.0,29.0,0.0,0W,0.0,19.0
50,26.0,26D,entry,20.0,20H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 16:40:00,1S,49.0,52.0,45.0,30.0,57.0,22.0,46.0,47.0,42.0,30.0,33.0,22.0,38.0,45.0,20.0,27.0,0.0,0W,0.0,19.0
51,26.0,26D,entry,20.0,20H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 17:00:00,1S,52.0,45.0,30.0,57.0,22.0,31.0,47.0,42.0,30.0,33.0,22.0,29.0,31.0,32.0,24.0,18.0,0.0,0W,0.0,24.0
52,26.0,26D,entry,21.0,21H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 17:20:00,1S,45.0,30.0,57.0,22.0,31.0,34.0,42.0,30.0,33.0,22.0,29.0,31.0,37.0,29.0,19.0,13.0,0.0,0W,0.0,14.0
53,26.0,26D,entry,21.0,21H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 17:40:00,1S,30.0,57.0,22.0,31.0,34.0,18.0,30.0,33.0,22.0,29.0,31.0,15.0,42.0,23.0,19.0,22.0,0.0,0W,0.0,19.0
54,26.0,26D,entry,21.0,21H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 18:00:00,1S,57.0,22.0,31.0,34.0,18.0,23.0,33.0,22.0,29.0,31.0,15.0,22.0,28.0,32.0,25.0,27.0,0.0,0W,0.0,10.0
55,26.0,26D,entry,22.0,22H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 18:20:00,1S,22.0,31.0,34.0,18.0,23.0,20.0,22.0,29.0,31.0,15.0,22.0,19.0,35.0,27.0,20.0,17.0,0.0,0W,0.0,10.0
56,26.0,26D,entry,22.0,22H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 18:40:00,1S,31.0,34.0,18.0,23.0,20.0,20.0,29.0,31.0,15.0,22.0,19.0,19.0,28.0,25.0,15.0,16.0,0.0,0W,0.0,12.0
57,26.0,26D,entry,22.0,22H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 19:00:00,1S,34.0,18.0,23.0,20.0,20.0,25.0,31.0,15.0,22.0,19.0,19.0,24.0,22.0,28.0,30.0,17.0,0.0,0W,0.0,5.0
58,26.0,26D,entry,23.0,23H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 19:20:00,1S,18.0,23.0,20.0,20.0,25.0,15.0,15.0,22.0,19.0,19.0,24.0,14.0,23.0,15.0,13.0,17.0,0.0,0W,0.0,3.0
59,26.0,26D,entry,23.0,23H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 19:40:00,1S,23.0,20.0,20.0,25.0,15.0,22.0,22.0,19.0,19.0,24.0,14.0,19.0,19.0,25.0,18.0,22.0,0.0,0W,0.0,6.0
60,26.0,26D,entry,23.0,23H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 20:00:00,1S,20.0,20.0,25.0,15.0,22.0,10.0,19.0,19.0,24.0,14.0,19.0,10.0,18.0,21.0,11.0,5.0,0.0,0W,0.0,4.0
61,27.0,27D,entry,0.0,0H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 20:20:00,1S,20.0,25.0,15.0,22.0,10.0,12.0,19.0,24.0,14.0,19.0,10.0,10.0,16.0,21.0,11.0,4.0,1.0,1W,0.0,12.0
62,27.0,27D,entry,0.0,0H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 20:40:00,1S,25.0,15.0,22.0,10.0,12.0,12.0,24.0,14.0,19.0,10.0,10.0,12.0,17.0,9.0,8.0,9.0,1.0,1W,0.0,20.0
63,27.0,27D,entry,0.0,0H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 21:00:00,1S,15.0,22.0,10.0,12.0,12.0,7.0,14.0,19.0,10.0,10.0,12.0,5.0,13.0,12.0,7.0,3.0,1.0,1W,0.0,8.0
64,27.0,27D,entry,1.0,1H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 21:20:00,1S,22.0,10.0,12.0,12.0,7.0,3.0,19.0,10.0,10.0,12.0,5.0,3.0,10.0,4.0,19.0,1.0,1.0,1W,0.0,5.0
65,27.0,27D,entry,1.0,1H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 21:40:00,1S,10.0,12.0,12.0,7.0,3.0,10.0,10.0,10.0,12.0,5.0,3.0,6.0,13.0,1.0,13.0,7.0,1.0,1W,0.0,8.0
66,27.0,27D,entry,1.0,1H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 22:00:00,1S,12.0,12.0,7.0,3.0,10.0,4.0,10.0,12.0,5.0,3.0,6.0,4.0,9.0,6.0,16.0,6.0,1.0,1W,0.0,6.0
67,27.0,27D,entry,2.0,2H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 22:20:00,1S,12.0,7.0,3.0,10.0,4.0,22.0,12.0,5.0,3.0,6.0,4.0,12.0,9.0,9.0,17.0,14.0,1.0,1W,0.0,7.0
68,27.0,27D,entry,2.0,2H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 22:40:00,1S,7.0,3.0,10.0,4.0,22.0,41.0,5.0,3.0,6.0,4.0,12.0,20.0,6.0,12.0,5.0,13.0,1.0,1W,0.0,5.0
69,27.0,27D,entry,2.0,2H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-26 23:00:00,1S,3.0,10.0,4.0,22.0,41.0,14.0,3.0,6.0,4.0,12.0,20.0,8.0,11.0,6.0,16.0,7.0,1.0,1W,0.0,8.0
70,27.0,27D,entry,3.0,3H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-26 23:20:00,1S,10.0,4.0,22.0,41.0,14.0,10.0,6.0,4.0,12.0,20.0,8.0,5.0,2.0,14.0,6.0,6.0,1.0,1W,0.0,9.0
71,27.0,27D,entry,3.0,3H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-26 23:40:00,1S,4.0,22.0,41.0,14.0,10.0,25.0,4.0,12.0,20.0,8.0,5.0,8.0,2.0,6.0,9.0,5.0,1.0,1W,0.0,7.0
72,27.0,27D,entry,3.0,3H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-27 00:00:00,1S,22.0,41.0,14.0,10.0,25.0,7.0,12.0,20.0,8.0,5.0,8.0,6.0,7.0,10.0,12.0,5.0,1.0,1W,0.0,6.0
73,27.0,27D,entry,4.0,4H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-27 00:20:00,1S,41.0,14.0,10.0,25.0,7.0,13.0,20.0,8.0,5.0,8.0,6.0,7.0,8.0,10.0,4.0,6.0,1.0,1W,0.0,16.0
74,27.0,27D,entry,4.0,4H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-27 00:40:00,1S,14.0,10.0,25.0,7.0,13.0,13.0,8.0,5.0,8.0,6.0,7.0,5.0,9.0,4.0,8.0,9.0,1.0,1W,0.0,11.0
75,27.0,27D,entry,4.0,4H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-27 01:00:00,1S,10.0,25.0,7.0,13.0,13.0,23.0,5.0,8.0,6.0,7.0,5.0,8.0,5.0,8.0,10.0,7.0,1.0,1W,0.0,16.0
76,27.0,27D,entry,5.0,5H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-27 01:20:00,1S,25.0,7.0,13.0,13.0,23.0,15.0,8.0,6.0,7.0,5.0,8.0,9.0,9.0,11.0,7.0,10.0,1.0,1W,0.0,6.0
77,27.0,27D,entry,5.0,5H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-27 01:40:00,1S,7.0,13.0,13.0,23.0,15.0,17.0,6.0,7.0,5.0,8.0,9.0,7.0,6.0,10.0,8.0,8.0,1.0,1W,0.0,4.0
78,27.0,27D,entry,5.0,5H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-27 02:00:00,1S,13.0,13.0,23.0,15.0,17.0,12.0,7.0,5.0,8.0,9.0,7.0,6.0,8.0,14.0,6.0,5.0,1.0,1W,0.0,10.0
79,27.0,27D,entry,6.0,6H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-27 02:20:00,1S,13.0,23.0,15.0,17.0,12.0,38.0,5.0,8.0,9.0,7.0,6.0,16.0,7.0,6.0,4.0,11.0,1.0,1W,0.0,12.0
80,27.0,27D,entry,6.0,6H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-27 02:40:00,1S,23.0,15.0,17.0,12.0,38.0,30.0,8.0,9.0,7.0,6.0,16.0,11.0,13.0,11.0,10.0,8.0,1.0,1W,0.0,20.0
81,27.0,27D,entry,6.0,6H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-27 03:00:00,1S,15.0,17.0,12.0,38.0,30.0,43.0,9.0,7.0,6.0,16.0,11.0,16.0,13.0,20.0,11.0,15.0,1.0,1W,0.0,35.0
82,27.0,27D,entry,7.0,7H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-27 03:20:00,1S,17.0,12.0,38.0,30.0,43.0,6.0,7.0,6.0,16.0,11.0,16.0,6.0,6.0,4.0,5.0,9.0,1.0,1W,0.0,56.0
83,27.0,27D,entry,7.0,7H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-27 03:40:00,1S,12.0,38.0,30.0,43.0,6.0,5.0,6.0,16.0,11.0,16.0,6.0,4.0,4.0,5.0,2.0,4.0,1.0,1W,0.0,50.0
84,27.0,27D,entry,7.0,7H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-27 04:00:00,1S,38.0,30.0,43.0,6.0,5.0,15.0,16.0,11.0,16.0,6.0,4.0,10.0,10.0,9.0,3.0,10.0,1.0,1W,0.0,41.0
85,27.0,27D,entry,8.0,8H,1.0,0.0,0.0,0.0,0.0,0M,2016-09-27 04:20:00,1S,30.0,43.0,6.0,5.0,15.0,14.0,11.0,16.0,6.0,4.0,10.0,12.0,13.0,8.0,6.0,13.0,1.0,1W,0.0,60.0
86,27.0,27D,entry,8.0,8H,1.0,0.0,0.0,0.0,20.0,20M,2016-09-27 04:40:00,1S,43.0,6.0,5.0,15.0,14.0,25.0,16.0,6.0,4.0,10.0,12.0,20.0,23.0,19.0,10.0,20.0,1.0,1W,0.0,45.0
87,27.0,27D,entry,8.0,8H,1.0,0.0,0.0,0.0,40.0,40M,2016-09-27 05:00:00,1S,6.0,5.0,15.0,14.0,25.0,49.0,6.0,4.0,10.0,12.0,20.0,35.0,39.0,24.0,36.0,29.0,1.0,1W,0.0,64.0
88,27.0,27D,entry,9.0,9H,0.0,0.0,1.0,0.0,0.0,0M,2016-09-27 05:20:00,1S,5.0,15.0,14.0,25.0,49.0,70.0,4.0,10.0,12.0,20.0,35.0,56.0,44.0,28.0,28.0,38.0,1.0,1W,0.0,58.0
89,27.0,27D,entry,9.0,9H,0.0,0.0,1.0,0.0,20.0,20M,2016-09-27 05:40:00,1S,15.0,14.0,25.0,49.0,70.0,54.0,10.0,12.0,20.0,35.0,56.0,50.0,39.0,33.0,40.0,30.0,1.0,1W,0.0,65.0
90,27.0,27D,entry,9.0,9H,0.0,0.0,1.0,0.0,40.0,40M,2016-09-27 06:00:00,1S,14.0,25.0,49.0,70.0,54.0,43.0,12.0,20.0,35.0,56.0,50.0,41.0,46.0,35.0,34.0,31.0,1.0,1W,0.0,45.0
91,27.0,27D,entry,10.0,10H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-27 06:20:00,1S,25.0,49.0,70.0,54.0,43.0,70.0,20.0,35.0,56.0,50.0,41.0,60.0,49.0,43.0,50.0,53.0,1.0,1W,0.0,50.0
92,27.0,27D,entry,10.0,10H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-27 06:40:00,1S,49.0,70.0,54.0,43.0,70.0,53.0,35.0,56.0,50.0,41.0,60.0,45.0,52.0,64.0,58.0,50.0,1.0,1W,0.0,35.0
93,27.0,27D,entry,10.0,10H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-27 07:00:00,1S,70.0,54.0,43.0,70.0,53.0,70.0,56.0,50.0,41.0,60.0,45.0,64.0,45.0,71.0,51.0,45.0,1.0,1W,0.0,58.0
94,27.0,27D,entry,11.0,11H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-27 07:20:00,1S,54.0,43.0,70.0,53.0,70.0,61.0,50.0,41.0,60.0,45.0,64.0,58.0,48.0,52.0,43.0,51.0,1.0,1W,0.0,31.0
95,27.0,27D,entry,11.0,11H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-27 07:40:00,1S,43.0,70.0,53.0,70.0,61.0,66.0,41.0,60.0,45.0,64.0,58.0,65.0,52.0,68.0,52.0,68.0,1.0,1W,0.0,47.0
96,27.0,27D,entry,11.0,11H,0.0,0.0,0.0,0.0,40.0,40M,2016-09-27 08:00:00,1S,70.0,53.0,70.0,61.0,66.0,47.0,60.0,45.0,64.0,58.0,65.0,45.0,51.0,66.0,59.0,59.0,1.0,1W,0.0,33.0
97,27.0,27D,entry,12.0,12H,0.0,0.0,0.0,0.0,0.0,0M,2016-09-27 08:20:00,1S,53.0,70.0,61.0,66.0,47.0,53.0,45.0,64.0,58.0,65.0,45.0,50.0,47.0,56.0,47.0,56.0,1.0,1W,0.0,34.0
98,27.0,27D,entry,12.0,12H,0.0,0.0,0.0,0.0,20.0,20M,2016-09-27 08:40:00,1S,70.0,61.0,66.0,47.0,53.0,41.0,64.0,58.0,65.0,45.0,50.0,35.0,52.0,70.0,49.0,60.0,1.0,1W,0.0,44.0
