time,y,day_str,hour_str,is_eight,is_nine,is_eighteen,is_seventeen,minute_str,week_str,day,hour,minute,week,weekend
2016-09-19 12:20:00,70.0,19D,12H,0,0,0,0,20M,0W,19,12,20,0,0
2016-09-19 12:40:00,79.0,19D,12H,0,0,0,0,40M,0W,19,12,40,0,0
2016-09-19 13:00:00,100.0,19D,13H,0,0,0,0,0M,0W,19,13,0,0,0
2016-09-19 13:20:00,108.0,19D,13H,0,0,0,0,20M,0W,19,13,20,0,0
2016-09-19 13:40:00,106.0,19D,13H,0,0,0,0,40M,0W,19,13,40,0,0
2016-09-19 14:00:00,101.0,19D,14H,0,0,0,0,0M,0W,19,14,0,0,0
2016-09-19 14:20:00,100.0,19D,14H,0,0,0,0,20M,0W,19,14,20,0,0
2016-09-19 14:40:00,101.0,19D,14H,0,0,0,0,40M,0W,19,14,40,0,0
2016-09-19 15:00:00,77.0,19D,15H,0,0,0,0,0M,0W,19,15,0,0,0
2016-09-19 15:20:00,104.0,19D,15H,0,0,0,0,20M,0W,19,15,20,0,0
2016-09-19 15:40:00,92.0,19D,15H,0,0,0,0,40M,0W,19,15,40,0,0
2016-09-19 16:00:00,110.0,19D,16H,0,0,0,0,0M,0W,19,16,0,0,0
2016-09-19 16:20:00,122.0,19D,16H,0,0,0,0,20M,0W,19,16,20,0,0
2016-09-19 16:40:00,116.0,19D,16H,0,0,0,0,40M,0W,19,16,40,0,0
2016-09-19 17:00:00,96.0,19D,17H,0,0,0,1,0M,0W,19,17,0,0,0
2016-09-19 17:20:00,116.0,19D,17H,0,0,0,1,20M,0W,19,17,20,0,0
2016-09-19 17:40:00,112.0,19D,17H,0,0,0,1,40M,0W,19,17,40,0,0
2016-09-19 18:00:00,67.0,19D,18H,0,0,1,0,0M,0W,19,18,0,0,0
2016-09-19 18:20:00,94.0,19D,18H,0,0,1,0,20M,0W,19,18,20,0,0
2016-09-19 18:40:00,65.0,19D,18H,0,0,1,0,40M,0W,19,18,40,0,0
2016-09-19 19:00:00,62.0,19D,19H,0,0,0,0,0M,0W,19,19,0,0,0
2016-09-19 19:20:00,44.0,19D,19H,0,0,0,0,20M,0W,19,19,20,0,0
2016-09-19 19:40:00,41.0,19D,19H,0,0,0,0,40M,0W,19,19,40,0,0
2016-09-19 20:00:00,48.0,19D,20H,0,0,0,0,0M,0W,19,20,0,0,0
2016-09-19 20:20:00,34.0,19D,20H,0,0,0,0,20M,0W,19,20,20,0,0
2016-09-19 20:40:00,39.0,19D,20H,0,0,0,0,40M,0W,19,20,40,0,0
2016-09-19 21:00:00,24.0,19D,21H,0,0,0,0,0M,0W,19,21,0,0,0
2016-09-19 21:20:00,35.0,19D,21H,0,0,0,0,20M,0W,19,21,20,0,0
2016-09-19 21:40:00,30.0,19D,21H,0,0,0,0,40M,0W,19,21,40,0,0
2016-09-19 22:00:00,21.0,19D,22H,0,0,0,0,0M,0W,19,22,0,0,0
2016-09-19 22:20:00,24.0,19D,22H,0,0,0,0,20M,0W,19,22,20,0,0
2016-09-19 22:40:00,23.0,19D,22H,0,0,0,0,40M,0W,19,22,40,0,0
2016-09-19 23:00:00,16.0,19D,23H,0,0,0,0,0M,0W,19,23,0,0,0
2016-09-19 23:20:00,10.0,19D,23H,0,0,0,0,20M,0W,19,23,20,0,0
2016-09-19 23:40:00,13.0,19D,23H,0,0,0,0,40M,0W,19,23,40,0,0
2016-09-20 00:00:00,139.0,20D,0H,0,0,0,0,0M,1W,20,0,0,1,0
2016-09-20 00:20:00,80.0,20D,0H,0,0,0,0,20M,1W,20,0,20,1,0
2016-09-20 00:40:00,37.0,20D,0H,0,0,0,0,40M,1W,20,0,40,1,0
2016-09-20 01:00:00,6.0,20D,1H,0,0,0,0,0M,1W,20,1,0,1,0
2016-09-20 01:20:00,8.0,20D,1H,0,0,0,0,20M,1W,20,1,20,1,0
2016-09-20 01:40:00,11.0,20D,1H,0,0,0,0,40M,1W,20,1,40,1,0
2016-09-20 02:00:00,8.0,20D,2H,0,0,0,0,0M,1W,20,2,0,1,0
2016-09-20 02:20:00,12.0,20D,2H,0,0,0,0,20M,1W,20,2,20,1,0
2016-09-20 02:40:00,8.0,20D,2H,0,0,0,0,40M,1W,20,2,40,1,0
2016-09-20 03:00:00,2.0,20D,3H,0,0,0,0,0M,1W,20,3,0,1,0
2016-09-20 03:20:00,13.0,20D,3H,0,0,0,0,20M,1W,20,3,20,1,0
2016-09-20 03:40:00,18.0,20D,3H,0,0,0,0,40M,1W,20,3,40,1,0
2016-09-20 04:00:00,20.0,20D,4H,0,0,0,0,0M,1W,20,4,0,1,0
2016-09-20 04:20:00,17.0,20D,4H,0,0,0,0,20M,1W,20,4,20,1,0
2016-09-20 04:40:00,20.0,20D,4H,0,0,0,0,40M,1W,20,4,40,1,0
2016-09-20 05:00:00,27.0,20D,5H,0,0,0,0,0M,1W,20,5,0,1,0
2016-09-20 05:20:00,37.0,20D,5H,0,0,0,0,20M,1W,20,5,20,1,0
2016-09-20 05:40:00,35.0,20D,5H,0,0,0,0,40M,1W,20,5,40,1,0
2016-09-20 06:00:00,47.0,20D,6H,0,0,0,0,0M,1W,20,6,0,1,0
2016-09-20 06:20:00,59.0,20D,6H,0,0,0,0,20M,1W,20,6,20,1,0
2016-09-20 06:40:00,69.0,20D,6H,0,0,0,0,40M,1W,20,6,40,1,0
2016-09-20 07:00:00,88.0,20D,7H,0,0,0,0,0M,1W,20,7,0,1,0
2016-09-20 07:20:00,126.0,20D,7H,0,0,0,0,20M,1W,20,7,20,1,0
2016-09-20 07:40:00,139.0,20D,7H,0,0,0,0,40M,1W,20,7,40,1,0
2016-09-20 08:00:00,132.0,20D,8H,1,0,0,0,0M,1W,20,8,0,1,0
2016-09-20 08:20:00,151.0,20D,8H,1,0,0,0,20M,1W,20,8,20,1,0
2016-09-20 08:40:00,131.0,20D,8H,1,0,0,0,40M,1W,20,8,40,1,0
2016-09-20 09:00:00,150.0,20D,9H,0,1,0,0,0M,1W,20,9,0,1,0
2016-09-20 09:20:00,142.0,20D,9H,0,1,0,0,20M,1W,20,9,20,1,0
2016-09-20 09:40:00,173.0,20D,9H,0,1,0,0,40M,1W,20,9,40,1,0
2016-09-20 10:00:00,96.0,20D,10H,0,0,0,0,0M,1W,20,10,0,1,0
2016-09-20 10:20:00,92.0,20D,10H,0,0,0,0,20M,1W,20,10,20,1,0
2016-09-20 10:40:00,92.0,20D,10H,0,0,0,0,40M,1W,20,10,40,1,0
2016-09-20 11:00:00,90.0,20D,11H,0,0,0,0,0M,1W,20,11,0,1,0
2016-09-20 11:20:00,98.0,20D,11H,0,0,0,0,20M,1W,20,11,20,1,0
2016-09-20 11:40:00,87.0,20D,11H,0,0,0,0,40M,1W,20,11,40,1,0
2016-09-20 12:00:00,86.0,20D,12H,0,0,0,0,0M,1W,20,12,0,1,0
2016-09-20 12:20:00,82.0,20D,12H,0,0,0,0,20M,1W,20,12,20,1,0
2016-09-20 12:40:00,70.0,20D,12H,0,0,0,0,40M,1W,20,12,40,1,0
2016-09-20 13:00:00,99.0,20D,13H,0,0,0,0,0M,1W,20,13,0,1,0
2016-09-20 13:20:00,95.0,20D,13H,0,0,0,0,20M,1W,20,13,20,1,0
2016-09-20 13:40:00,103.0,20D,13H,0,0,0,0,40M,1W,20,13,40,1,0
2016-09-20 14:00:00,105.0,20D,14H,0,0,0,0,0M,1W,20,14,0,1,0
2016-09-20 14:20:00,94.0,20D,14H,0,0,0,0,20M,1W,20,14,20,1,0
2016-09-20 14:40:00,99.0,20D,14H,0,0,0,0,40M,1W,20,14,40,1,0
2016-09-20 15:00:00,78.0,20D,15H,0,0,0,0,0M,1W,20,15,0,1,0
2016-09-20 15:20:00,79.0,20D,15H,0,0,0,0,20M,1W,20,15,20,1,0
2016-09-20 15:40:00,71.0,20D,15H,0,0,0,0,40M,1W,20,15,40,1,0
2016-09-20 16:00:00,95.0,20D,16H,0,0,0,0,0M,1W,20,16,0,1,0
2016-09-20 16:20:00,96.0,20D,16H,0,0,0,0,20M,1W,20,16,20,1,0
2016-09-20 16:40:00,95.0,20D,16H,0,0,0,0,40M,1W,20,16,40,1,0
2016-09-20 17:00:00,111.0,20D,17H,0,0,0,1,0M,1W,20,17,0,1,0
2016-09-20 17:20:00,110.0,20D,17H,0,0,0,1,20M,1W,20,17,20,1,0
2016-09-20 17:40:00,133.0,20D,17H,0,0,0,1,40M,1W,20,17,40,1,0
2016-09-20 18:00:00,78.0,20D,18H,0,0,1,0,0M,1W,20,18,0,1,0
2016-09-20 18:20:00,60.0,20D,18H,0,0,1,0,20M,1W,20,18,20,1,0
2016-09-20 18:40:00,53.0,20D,18H,0,0,1,0,40M,1W,20,18,40,1,0
2016-09-20 19:00:00,44.0,20D,19H,0,0,0,0,0M,1W,20,19,0,1,0
2016-09-20 19:20:00,52.0,20D,19H,0,0,0,0,20M,1W,20,19,20,1,0
2016-09-20 19:40:00,49.0,20D,19H,0,0,0,0,40M,1W,20,19,40,1,0
2016-09-20 20:00:00,34.0,20D,20H,0,0,0,0,0M,1W,20,20,0,1,0
2016-09-20 20:20:00,42.0,20D,20H,0,0,0,0,20M,1W,20,20,20,1,0
2016-09-20 20:40:00,37.0,20D,20H,0,0,0,0,40M,1W,20,20,40,1,0
2016-09-20 21:00:00,41.0,20D,21H,0,0,0,0,0M,1W,20,21,0,1,0
2016-09-20 21:20:00,42.0,20D,21H,0,0,0,0,20M,1W,20,21,20,1,0
2016-09-20 21:40:00,39.0,20D,21H,0,0,0,0,40M,1W,20,21,40,1,0
2016-09-20 22:00:00,32.0,20D,22H,0,0,0,0,0M,1W,20,22,0,1,0
2016-09-20 22:20:00,30.0,20D,22H,0,0,0,0,20M,1W,20,22,20,1,0
2016-09-20 22:40:00,24.0,20D,22H,0,0,0,0,40M,1W,20,22,40,1,0
2016-09-20 23:00:00,12.0,20D,23H,0,0,0,0,0M,1W,20,23,0,1,0
2016-09-20 23:20:00,22.0,20D,23H,0,0,0,0,20M,1W,20,23,20,1,0
2016-09-20 23:40:00,14.0,20D,23H,0,0,0,0,40M,1W,20,23,40,1,0
2016-09-21 00:00:00,97.0,21D,0H,0,0,0,0,0M,2W,21,0,0,2,0
2016-09-21 00:20:00,64.0,21D,0H,0,0,0,0,20M,2W,21,0,20,2,0
2016-09-21 00:40:00,41.0,21D,0H,0,0,0,0,40M,2W,21,0,40,2,0
2016-09-21 01:00:00,9.0,21D,1H,0,0,0,0,0M,2W,21,1,0,2,0
2016-09-21 01:20:00,8.0,21D,1H,0,0,0,0,20M,2W,21,1,20,2,0
2016-09-21 01:40:00,13.0,21D,1H,0,0,0,0,40M,2W,21,1,40,2,0
2016-09-21 02:00:00,10.0,21D,2H,0,0,0,0,0M,2W,21,2,0,2,0
2016-09-21 02:20:00,7.0,21D,2H,0,0,0,0,20M,2W,21,2,20,2,0
2016-09-21 02:40:00,10.0,21D,2H,0,0,0,0,40M,2W,21,2,40,2,0
2016-09-21 03:00:00,12.0,21D,3H,0,0,0,0,0M,2W,21,3,0,2,0
2016-09-21 03:20:00,15.0,21D,3H,0,0,0,0,20M,2W,21,3,20,2,0
2016-09-21 03:40:00,19.0,21D,3H,0,0,0,0,40M,2W,21,3,40,2,0
2016-09-21 04:00:00,18.0,21D,4H,0,0,0,0,0M,2W,21,4,0,2,0
2016-09-21 04:20:00,18.0,21D,4H,0,0,0,0,20M,2W,21,4,20,2,0
2016-09-21 04:40:00,18.0,21D,4H,0,0,0,0,40M,2W,21,4,40,2,0
2016-09-21 05:00:00,31.0,21D,5H,0,0,0,0,0M,2W,21,5,0,2,0
2016-09-21 05:20:00,28.0,21D,5H,0,0,0,0,20M,2W,21,5,20,2,0
2016-09-21 05:40:00,30.0,21D,5H,0,0,0,0,40M,2W,21,5,40,2,0
2016-09-21 06:00:00,36.0,21D,6H,0,0,0,0,0M,2W,21,6,0,2,0
2016-09-21 06:20:00,50.0,21D,6H,0,0,0,0,20M,2W,21,6,20,2,0
2016-09-21 06:40:00,71.0,21D,6H,0,0,0,0,40M,2W,21,6,40,2,0
2016-09-21 07:00:00,77.0,21D,7H,0,0,0,0,0M,2W,21,7,0,2,0
2016-09-21 07:20:00,94.0,21D,7H,0,0,0,0,20M,2W,21,7,20,2,0
2016-09-21 07:40:00,99.0,21D,7H,0,0,0,0,40M,2W,21,7,40,2,0
2016-09-21 08:00:00,100.0,21D,8H,1,0,0,0,0M,2W,21,8,0,2,0
2016-09-21 08:20:00,105.0,21D,8H,1,0,0,0,20M,2W,21,8,20,2,0
2016-09-21 08:40:00,119.0,21D,8H,1,0,0,0,40M,2W,21,8,40,2,0
2016-09-21 09:00:00,137.0,21D,9H,0,1,0,0,0M,2W,21,9,0,2,0
2016-09-21 09:20:00,132.0,21D,9H,0,1,0,0,20M,2W,21,9,20,2,0
2016-09-21 09:40:00,122.0,21D,9H,0,1,0,0,40M,2W,21,9,40,2,0
2016-09-21 10:00:00,96.0,21D,10H,0,0,0,0,0M,2W,21,10,0,2,0
2016-09-21 10:20:00,98.0,21D,10H,0,0,0,0,20M,2W,21,10,20,2,0
2016-09-21 10:40:00,89.0,21D,10H,0,0,0,0,40M,2W,21,10,40,2,0
2016-09-21 11:00:00,77.0,21D,11H,0,0,0,0,0M,2W,21,11,0,2,0
2016-09-21 11:20:00,79.0,21D,11H,0,0,0,0,20M,2W,21,11,20,2,0
2016-09-21 11:40:00,78.0,21D,11H,0,0,0,0,40M,2W,21,11,40,2,0
2016-09-21 12:00:00,84.0,21D,12H,0,0,0,0,0M,2W,21,12,0,2,0
2016-09-21 12:20:00,96.0,21D,12H,0,0,0,0,20M,2W,21,12,20,2,0
2016-09-21 12:40:00,90.0,21D,12H,0,0,0,0,40M,2W,21,12,40,2,0
2016-09-21 13:00:00,87.0,21D,13H,0,0,0,0,0M,2W,21,13,0,2,0
2016-09-21 13:20:00,87.0,21D,13H,0,0,0,0,20M,2W,21,13,20,2,0
2016-09-21 13:40:00,105.0,21D,13H,0,0,0,0,40M,2W,21,13,40,2,0
2016-09-21 14:00:00,104.0,21D,14H,0,0,0,0,0M,2W,21,14,0,2,0
2016-09-21 14:20:00,93.0,21D,14H,0,0,0,0,20M,2W,21,14,20,2,0
2016-09-21 14:40:00,103.0,21D,14H,0,0,0,0,40M,2W,21,14,40,2,0
2016-09-21 15:00:00,98.0,21D,15H,0,0,0,0,0M,2W,21,15,0,2,0
2016-09-21 15:20:00,96.0,21D,15H,0,0,0,0,20M,2W,21,15,20,2,0
2016-09-21 15:40:00,90.0,21D,15H,0,0,0,0,40M,2W,21,15,40,2,0
2016-09-21 16:00:00,105.0,21D,16H,0,0,0,0,0M,2W,21,16,0,2,0
2016-09-21 16:20:00,97.0,21D,16H,0,0,0,0,20M,2W,21,16,20,2,0
2016-09-21 16:40:00,98.0,21D,16H,0,0,0,0,40M,2W,21,16,40,2,0
2016-09-21 17:00:00,94.0,21D,17H,0,0,0,1,0M,2W,21,17,0,2,0
2016-09-21 17:20:00,109.0,21D,17H,0,0,0,1,20M,2W,21,17,20,2,0
2016-09-21 17:40:00,94.0,21D,17H,0,0,0,1,40M,2W,21,17,40,2,0
2016-09-21 18:00:00,74.0,21D,18H,0,0,1,0,0M,2W,21,18,0,2,0
2016-09-21 18:20:00,85.0,21D,18H,0,0,1,0,20M,2W,21,18,20,2,0
2016-09-21 18:40:00,78.0,21D,18H,0,0,1,0,40M,2W,21,18,40,2,0
2016-09-21 19:00:00,46.0,21D,19H,0,0,0,0,0M,2W,21,19,0,2,0
2016-09-21 19:20:00,40.0,21D,19H,0,0,0,0,20M,2W,21,19,20,2,0
2016-09-21 19:40:00,49.0,21D,19H,0,0,0,0,40M,2W,21,19,40,2,0
2016-09-21 20:00:00,43.0,21D,20H,0,0,0,0,0M,2W,21,20,0,2,0
2016-09-21 20:20:00,47.0,21D,20H,0,0,0,0,20M,2W,21,20,20,2,0
2016-09-21 20:40:00,26.0,21D,20H,0,0,0,0,40M,2W,21,20,40,2,0
2016-09-21 21:00:00,29.0,21D,21H,0,0,0,0,0M,2W,21,21,0,2,0
2016-09-21 21:20:00,33.0,21D,21H,0,0,0,0,20M,2W,21,21,20,2,0
2016-09-21 21:40:00,28.0,21D,21H,0,0,0,0,40M,2W,21,21,40,2,0
2016-09-21 22:00:00,26.0,21D,22H,0,0,0,0,0M,2W,21,22,0,2,0
2016-09-21 22:20:00,23.0,21D,22H,0,0,0,0,20M,2W,21,22,20,2,0
2016-09-21 22:40:00,25.0,21D,22H,0,0,0,0,40M,2W,21,22,40,2,0
2016-09-21 23:00:00,13.0,21D,23H,0,0,0,0,0M,2W,21,23,0,2,0
2016-09-21 23:20:00,21.0,21D,23H,0,0,0,0,20M,2W,21,23,20,2,0
2016-09-21 23:40:00,14.0,21D,23H,0,0,0,0,40M,2W,21,23,40,2,0
2016-09-22 00:00:00,110.0,22D,0H,0,0,0,0,0M,3W,22,0,0,3,0
2016-09-22 00:20:00,74.0,22D,0H,0,0,0,0,20M,3W,22,0,20,3,0
2016-09-22 00:40:00,49.0,22D,0H,0,0,0,0,40M,3W,22,0,40,3,0
2016-09-22 01:00:00,6.0,22D,1H,0,0,0,0,0M,3W,22,1,0,3,0
2016-09-22 01:20:00,9.0,22D,1H,0,0,0,0,20M,3W,22,1,20,3,0
2016-09-22 01:40:00,10.0,22D,1H,0,0,0,0,40M,3W,22,1,40,3,0
2016-09-22 02:00:00,11.0,22D,2H,0,0,0,0,0M,3W,22,2,0,3,0
2016-09-22 02:20:00,8.0,22D,2H,0,0,0,0,20M,3W,22,2,20,3,0
2016-09-22 02:40:00,4.0,22D,2H,0,0,0,0,40M,3W,22,2,40,3,0
2016-09-22 03:00:00,9.0,22D,3H,0,0,0,0,0M,3W,22,3,0,3,0
2016-09-22 03:20:00,15.0,22D,3H,0,0,0,0,20M,3W,22,3,20,3,0
2016-09-22 03:40:00,13.0,22D,3H,0,0,0,0,40M,3W,22,3,40,3,0
2016-09-22 04:00:00,21.0,22D,4H,0,0,0,0,0M,3W,22,4,0,3,0
2016-09-22 04:20:00,12.0,22D,4H,0,0,0,0,20M,3W,22,4,20,3,0
2016-09-22 04:40:00,22.0,22D,4H,0,0,0,0,40M,3W,22,4,40,3,0
2016-09-22 05:00:00,27.0,22D,5H,0,0,0,0,0M,3W,22,5,0,3,0
2016-09-22 05:20:00,27.0,22D,5H,0,0,0,0,20M,3W,22,5,20,3,0
2016-09-22 05:40:00,39.0,22D,5H,0,0,0,0,40M,3W,22,5,40,3,0
2016-09-22 06:00:00,42.0,22D,6H,0,0,0,0,0M,3W,22,6,0,3,0
2016-09-22 06:20:00,61.0,22D,6H,0,0,0,0,20M,3W,22,6,20,3,0
2016-09-22 06:40:00,60.0,22D,6H,0,0,0,0,40M,3W,22,6,40,3,0
2016-09-22 07:00:00,79.0,22D,7H,0,0,0,0,0M,3W,22,7,0,3,0
2016-09-22 07:20:00,96.0,22D,7H,0,0,0,0,20M,3W,22,7,20,3,0
2016-09-22 07:40:00,100.0,22D,7H,0,0,0,0,40M,3W,22,7,40,3,0
2016-09-22 08:00:00,106.0,22D,8H,1,0,0,0,0M,3W,22,8,0,3,0
2016-09-22 08:20:00,98.0,22D,8H,1,0,0,0,20M,3W,22,8,20,3,0
2016-09-22 08:40:00,111.0,22D,8H,1,0,0,0,40M,3W,22,8,40,3,0
2016-09-22 09:00:00,123.0,22D,9H,0,1,0,0,0M,3W,22,9,0,3,0
2016-09-22 09:20:00,107.0,22D,9H,0,1,0,0,20M,3W,22,9,20,3,0
2016-09-22 09:40:00,110.0,22D,9H,0,1,0,0,40M,3W,22,9,40,3,0
2016-09-22 10:00:00,98.0,22D,10H,0,0,0,0,0M,3W,22,10,0,3,0
2016-09-22 10:20:00,106.0,22D,10H,0,0,0,0,20M,3W,22,10,20,3,0
2016-09-22 10:40:00,85.0,22D,10H,0,0,0,0,40M,3W,22,10,40,3,0
2016-09-22 11:00:00,76.0,22D,11H,0,0,0,0,0M,3W,22,11,0,3,0
2016-09-22 11:20:00,85.0,22D,11H,0,0,0,0,20M,3W,22,11,20,3,0
2016-09-22 11:40:00,84.0,22D,11H,0,0,0,0,40M,3W,22,11,40,3,0
2016-09-22 12:00:00,105.0,22D,12H,0,0,0,0,0M,3W,22,12,0,3,0
2016-09-22 12:20:00,91.0,22D,12H,0,0,0,0,20M,3W,22,12,20,3,0
2016-09-22 12:40:00,98.0,22D,12H,0,0,0,0,40M,3W,22,12,40,3,0
2016-09-22 13:00:00,96.0,22D,13H,0,0,0,0,0M,3W,22,13,0,3,0
2016-09-22 13:20:00,103.0,22D,13H,0,0,0,0,20M,3W,22,13,20,3,0
2016-09-22 13:40:00,120.0,22D,13H,0,0,0,0,40M,3W,22,13,40,3,0
2016-09-22 14:00:00,73.0,22D,14H,0,0,0,0,0M,3W,22,14,0,3,0
2016-09-22 14:20:00,90.0,22D,14H,0,0,0,0,20M,3W,22,14,20,3,0
2016-09-22 14:40:00,90.0,22D,14H,0,0,0,0,40M,3W,22,14,40,3,0
2016-09-22 15:00:00,90.0,22D,15H,0,0,0,0,0M,3W,22,15,0,3,0
2016-09-22 15:20:00,115.0,22D,15H,0,0,0,0,20M,3W,22,15,20,3,0
2016-09-22 15:40:00,89.0,22D,15H,0,0,0,0,40M,3W,22,15,40,3,0
2016-09-22 16:00:00,102.0,22D,16H,0,0,0,0,0M,3W,22,16,0,3,0
2016-09-22 16:20:00,104.0,22D,16H,0,0,0,0,20M,3W,22,16,20,3,0
2016-09-22 16:40:00,113.0,22D,16H,0,0,0,0,40M,3W,22,16,40,3,0
2016-09-22 17:00:00,114.0,22D,17H,0,0,0,1,0M,3W,22,17,0,3,0
2016-09-22 17:20:00,102.0,22D,17H,0,0,0,1,20M,3W,22,17,20,3,0
2016-09-22 17:40:00,113.0,22D,17H,0,0,0,1,40M,3W,22,17,40,3,0
2016-09-22 18:00:00,81.0,22D,18H,0,0,1,0,0M,3W,22,18,0,3,0
2016-09-22 18:20:00,83.0,22D,18H,0,0,1,0,20M,3W,22,18,20,3,0
2016-09-22 18:40:00,88.0,22D,18H,0,0,1,0,40M,3W,22,18,40,3,0
2016-09-22 19:00:00,41.0,22D,19H,0,0,0,0,0M,3W,22,19,0,3,0
2016-09-22 19:20:00,47.0,22D,19H,0,0,0,0,20M,3W,22,19,20,3,0
2016-09-22 19:40:00,43.0,22D,19H,0,0,0,0,40M,3W,22,19,40,3,0
2016-09-22 20:00:00,34.0,22D,20H,0,0,0,0,0M,3W,22,20,0,3,0
2016-09-22 20:20:00,22.0,22D,20H,0,0,0,0,20M,3W,22,20,20,3,0
2016-09-22 20:40:00,29.0,22D,20H,0,0,0,0,40M,3W,22,20,40,3,0
2016-09-22 21:00:00,29.0,22D,21H,0,0,0,0,0M,3W,22,21,0,3,0
2016-09-22 21:20:00,20.0,22D,21H,0,0,0,0,20M,3W,22,21,20,3,0
2016-09-22 21:40:00,24.0,22D,21H,0,0,0,0,40M,3W,22,21,40,3,0
2016-09-22 22:00:00,15.0,22D,22H,0,0,0,0,0M,3W,22,22,0,3,0
2016-09-22 22:20:00,26.0,22D,22H,0,0,0,0,20M,3W,22,22,20,3,0
2016-09-22 22:40:00,23.0,22D,22H,0,0,0,0,40M,3W,22,22,40,3,0
2016-09-22 23:00:00,18.0,22D,23H,0,0,0,0,0M,3W,22,23,0,3,0
2016-09-22 23:20:00,13.0,22D,23H,0,0,0,0,20M,3W,22,23,20,3,0
2016-09-22 23:40:00,13.0,22D,23H,0,0,0,0,40M,3W,22,23,40,3,0
2016-09-23 00:00:00,101.0,23D,0H,0,0,0,0,0M,4W,23,0,0,4,0
2016-09-23 00:20:00,82.0,23D,0H,0,0,0,0,20M,4W,23,0,20,4,0
2016-09-23 00:40:00,46.0,23D,0H,0,0,0,0,40M,4W,23,0,40,4,0
2016-09-23 01:00:00,6.0,23D,1H,0,0,0,0,0M,4W,23,1,0,4,0
2016-09-23 01:20:00,10.0,23D,1H,0,0,0,0,20M,4W,23,1,20,4,0
2016-09-23 01:40:00,8.0,23D,1H,0,0,0,0,40M,4W,23,1,40,4,0
2016-09-23 02:00:00,5.0,23D,2H,0,0,0,0,0M,4W,23,2,0,4,0
