,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,etc_model0,etc_model1,etc_model2,etc_model3,etc_model4,etc_model5,no_etc_count0,no_etc_count1,no_etc_count2,no_etc_count3,no_etc_count4,no_etc_count5,no_etc_model0,no_etc_model1,no_etc_model2,no_etc_model3,no_etc_model4,no_etc_model5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,etc_all_model,etc_all_count,etc_avg_model,cargo_all_model,passenger_all_model,cargo_all_count,passenger_all_count,cargo_avg_model,passenger_avg_model,volume_all,vehicle_avg_model,day,hour,minute,week,weekend
10,7.0,9.0,12.0,13.0,16.0,17.0,11.0,9.0,36.0,23.0,40.0,30.0,1.57142857143,1.0,3.0,1.76923076923,2.5,1.76470588235,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,9.0,14.0,18.0,14.0,26.0,27.0,13.0,14.0,42.0,24.0,50.0,41.0,2.0,7.0,7.0,1.0,11.0,12.0,2.0,7.0,7.0,1.0,11.0,13.0,1.0,1.0,1.0,1.0,1.0,1.08333333333,13.0,16.0,43.0,24.0,51.0,43.0,1.44444444444,1.0,2.26315789474,1.71428571429,1.88888888889,1.48275862069,9.0,16.0,19.0,14.0,27.0,29.0,31.0,190.0,6.0,6.0,1.0,149.0,41.0,74.0,40.0,2.01351351351,1.025,114.0,1.66666666667,18,5,40,1,0
11,9.0,12.0,13.0,16.0,17.0,22.0,9.0,36.0,23.0,40.0,30.0,41.0,1.0,3.0,1.76923076923,2.5,1.76470588235,1.86363636364,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,14.0,18.0,14.0,26.0,27.0,29.0,14.0,42.0,24.0,50.0,41.0,48.0,7.0,7.0,1.0,11.0,12.0,8.0,7.0,7.0,1.0,11.0,13.0,11.0,1.0,1.0,1.0,1.0,1.08333333333,1.375,16.0,43.0,24.0,51.0,43.0,52.0,1.0,2.26315789474,1.71428571429,1.88888888889,1.48275862069,1.73333333333,16.0,19.0,14.0,27.0,29.0,30.0,37.0,229.0,10.0,7.0,1.42857142857,179.0,50.0,89.0,46.0,2.01123595506,1.08695652174,135.0,1.6962962963,18,6,0,1,0
12,12.0,13.0,16.0,17.0,22.0,21.0,36.0,23.0,40.0,30.0,41.0,38.0,3.0,1.76923076923,2.5,1.76470588235,1.86363636364,1.80952380952,1.0,0.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0,2.0,4.0,13.0,18.0,14.0,26.0,27.0,29.0,26.0,42.0,24.0,50.0,41.0,48.0,43.0,7.0,1.0,11.0,12.0,8.0,10.0,7.0,1.0,11.0,13.0,11.0,18.0,1.0,1.0,1.0,1.08333333333,1.375,1.8,43.0,24.0,51.0,43.0,52.0,56.0,2.26315789474,1.71428571429,1.88888888889,1.48275862069,1.73333333333,1.8064516129,19.0,14.0,27.0,29.0,30.0,31.0,47.0,269.0,21.0,10.0,2.1,208.0,61.0,101.0,49.0,2.05940594059,1.24489795918,150.0,1.79333333333,18,6,20,1,0
13,13.0,16.0,17.0,22.0,21.0,22.0,23.0,40.0,30.0,41.0,38.0,52.0,1.76923076923,2.5,1.76470588235,1.86363636364,1.80952380952,2.36363636364,0.0,1.0,2.0,1.0,5.0,3.0,0.0,1.0,2.0,4.0,13.0,3.0,14.0,26.0,27.0,29.0,26.0,34.0,24.0,50.0,41.0,48.0,43.0,64.0,1.0,11.0,12.0,8.0,10.0,15.0,1.0,11.0,13.0,11.0,18.0,15.0,1.0,1.0,1.08333333333,1.375,1.8,1.0,24.0,51.0,43.0,52.0,56.0,67.0,1.71428571429,1.88888888889,1.48275862069,1.73333333333,1.8064516129,1.81081081081,14.0,27.0,29.0,30.0,31.0,37.0,72.0,293.0,23.0,12.0,1.91666666667,224.0,69.0,111.0,57.0,2.01801801802,1.21052631579,168.0,1.74404761905,18,6,40,1,0
14,16.0,17.0,22.0,21.0,22.0,24.0,40.0,30.0,41.0,38.0,52.0,68.0,2.5,1.76470588235,1.86363636364,1.80952380952,2.36363636364,2.83333333333,1.0,2.0,1.0,5.0,3.0,8.0,1.0,2.0,4.0,13.0,3.0,20.0,26.0,27.0,29.0,26.0,34.0,39.0,50.0,41.0,48.0,43.0,64.0,71.0,11.0,12.0,8.0,10.0,15.0,23.0,11.0,13.0,11.0,18.0,15.0,23.0,1.0,1.08333333333,1.375,1.8,1.0,1.0,51.0,43.0,52.0,56.0,67.0,91.0,1.88888888889,1.48275862069,1.73333333333,1.8064516129,1.81081081081,1.93617021277,27.0,29.0,30.0,31.0,37.0,47.0,68.0,360.0,43.0,20.0,2.15,269.0,91.0,122.0,79.0,2.20491803279,1.15189873418,201.0,1.79104477612,18,7,0,1,0
15,17.0,22.0,21.0,22.0,24.0,31.0,30.0,41.0,38.0,52.0,68.0,63.0,1.76470588235,1.86363636364,1.80952380952,2.36363636364,2.83333333333,2.03225806452,2.0,1.0,5.0,3.0,8.0,10.0,2.0,4.0,13.0,3.0,20.0,13.0,27.0,29.0,26.0,34.0,39.0,62.0,41.0,48.0,43.0,64.0,71.0,94.0,12.0,8.0,10.0,15.0,23.0,41.0,13.0,11.0,18.0,15.0,23.0,44.0,1.08333333333,1.375,1.8,1.0,1.0,1.07317073171,43.0,52.0,56.0,67.0,91.0,107.0,1.48275862069,1.73333333333,1.8064516129,1.81081081081,1.93617021277,1.48611111111,29.0,30.0,31.0,37.0,47.0,72.0,94.0,416.0,55.0,29.0,1.89655172414,292.0,124.0,137.0,109.0,2.13138686131,1.1376146789,246.0,1.69105691057,18,7,20,1,0
16,22.0,21.0,22.0,24.0,31.0,18.0,41.0,38.0,52.0,68.0,63.0,40.0,1.86363636364,1.80952380952,2.36363636364,2.83333333333,2.03225806452,2.22222222222,1.0,5.0,3.0,8.0,10.0,19.0,4.0,13.0,3.0,20.0,13.0,23.0,29.0,26.0,34.0,39.0,62.0,49.0,48.0,43.0,64.0,71.0,94.0,71.0,8.0,10.0,15.0,23.0,41.0,50.0,11.0,18.0,15.0,23.0,44.0,54.0,1.375,1.8,1.0,1.0,1.07317073171,1.08,52.0,56.0,67.0,91.0,107.0,94.0,1.73333333333,1.8064516129,1.81081081081,1.93617021277,1.48611111111,1.38235294118,30.0,31.0,37.0,47.0,72.0,68.0,105.0,467.0,76.0,46.0,1.65217391304,302.0,165.0,138.0,147.0,2.1884057971,1.12244897959,285.0,1.63859649123,18,7,40,1,0
17,21.0,22.0,24.0,31.0,18.0,26.0,38.0,52.0,68.0,63.0,40.0,40.0,1.80952380952,2.36363636364,2.83333333333,2.03225806452,2.22222222222,1.53846153846,5.0,3.0,8.0,10.0,19.0,25.0,13.0,3.0,20.0,13.0,23.0,34.0,26.0,34.0,39.0,62.0,49.0,69.0,43.0,64.0,71.0,94.0,71.0,84.0,10.0,15.0,23.0,41.0,50.0,68.0,18.0,15.0,23.0,44.0,54.0,78.0,1.8,1.0,1.0,1.07317073171,1.08,1.14705882353,56.0,67.0,91.0,107.0,94.0,118.0,1.8064516129,1.81081081081,1.93617021277,1.48611111111,1.38235294118,1.25531914894,31.0,37.0,47.0,72.0,68.0,94.0,93.0,533.0,106.0,70.0,1.51428571429,301.0,232.0,142.0,207.0,2.11971830986,1.12077294686,349.0,1.52722063037,18,8,0,1,0
18,22.0,24.0,31.0,18.0,26.0,22.0,52.0,68.0,63.0,40.0,40.0,53.0,2.36363636364,2.83333333333,2.03225806452,2.22222222222,1.53846153846,2.40909090909,3.0,8.0,10.0,19.0,25.0,33.0,3.0,20.0,13.0,23.0,34.0,41.0,34.0,39.0,62.0,49.0,69.0,72.0,64.0,71.0,94.0,71.0,84.0,104.0,15.0,23.0,41.0,50.0,68.0,83.0,15.0,23.0,44.0,54.0,78.0,92.0,1.0,1.0,1.07317073171,1.08,1.14705882353,1.10843373494,67.0,91.0,107.0,94.0,118.0,145.0,1.81081081081,1.93617021277,1.48611111111,1.38235294118,1.25531914894,1.38095238095,37.0,47.0,72.0,68.0,94.0,105.0,134.0,622.0,134.0,98.0,1.36734693878,316.0,306.0,143.0,280.0,2.20979020979,1.09285714286,423.0,1.47044917258,18,8,20,1,0
19,24.0,31.0,18.0,26.0,22.0,14.0,68.0,63.0,40.0,40.0,53.0,28.0,2.83333333333,2.03225806452,2.22222222222,1.53846153846,2.40909090909,2.0,8.0,10.0,19.0,25.0,33.0,24.0,20.0,13.0,23.0,34.0,41.0,28.0,39.0,62.0,49.0,69.0,72.0,69.0,71.0,94.0,71.0,84.0,104.0,87.0,23.0,41.0,50.0,68.0,83.0,79.0,23.0,44.0,54.0,78.0,92.0,87.0,1.0,1.07317073171,1.08,1.14705882353,1.10843373494,1.10126582278,91.0,107.0,94.0,118.0,145.0,115.0,1.93617021277,1.48611111111,1.38235294118,1.25531914894,1.38095238095,1.23655913978,47.0,72.0,68.0,94.0,105.0,93.0,121.0,670.0,159.0,119.0,1.33613445378,292.0,378.0,135.0,344.0,2.16296296296,1.0988372093,479.0,1.3987473904,18,8,40,1,0
20,31.0,18.0,26.0,22.0,14.0,20.0,63.0,40.0,40.0,53.0,28.0,36.0,2.03225806452,2.22222222222,1.53846153846,2.40909090909,2.0,1.8,10.0,19.0,25.0,33.0,24.0,42.0,13.0,23.0,34.0,41.0,28.0,65.0,62.0,49.0,69.0,72.0,69.0,92.0,94.0,71.0,84.0,104.0,87.0,107.0,41.0,50.0,68.0,83.0,79.0,114.0,44.0,54.0,78.0,92.0,87.0,136.0,1.07317073171,1.08,1.14705882353,1.10843373494,1.10126582278,1.19298245614,107.0,94.0,118.0,145.0,115.0,172.0,1.48611111111,1.38235294118,1.25531914894,1.38095238095,1.23655913978,1.28358208955,72.0,68.0,94.0,105.0,93.0,134.0,86.0,751.0,204.0,153.0,1.33333333333,260.0,491.0,131.0,435.0,1.98473282443,1.12873563218,566.0,1.32685512367,18,9,0,1,0
21,18.0,26.0,22.0,14.0,20.0,21.0,40.0,40.0,53.0,28.0,36.0,30.0,2.22222222222,1.53846153846,2.40909090909,2.0,1.8,1.42857142857,19.0,25.0,33.0,24.0,42.0,34.0,23.0,34.0,41.0,28.0,65.0,59.0,49.0,69.0,72.0,69.0,92.0,87.0,71.0,84.0,104.0,87.0,107.0,96.0,50.0,68.0,83.0,79.0,114.0,100.0,54.0,78.0,92.0,87.0,136.0,125.0,1.08,1.14705882353,1.10843373494,1.10126582278,1.19298245614,1.25,94.0,118.0,145.0,115.0,172.0,155.0,1.38235294118,1.25531914894,1.38095238095,1.23655913978,1.28358208955,1.28099173554,68.0,94.0,105.0,93.0,134.0,121.0,108.0,799.0,250.0,177.0,1.41242937853,227.0,572.0,121.0,494.0,1.87603305785,1.15789473684,615.0,1.29918699187,18,9,20,1,0
22,26.0,22.0,14.0,20.0,21.0,23.0,40.0,53.0,28.0,36.0,30.0,43.0,1.53846153846,2.40909090909,2.0,1.8,1.42857142857,1.86956521739,25.0,33.0,24.0,42.0,34.0,15.0,34.0,41.0,28.0,65.0,59.0,19.0,69.0,72.0,69.0,92.0,87.0,71.0,84.0,104.0,87.0,107.0,96.0,94.0,68.0,83.0,79.0,114.0,100.0,63.0,78.0,92.0,87.0,136.0,125.0,70.0,1.14705882353,1.10843373494,1.10126582278,1.19298245614,1.25,1.11111111111,118.0,145.0,115.0,172.0,155.0,113.0,1.25531914894,1.38095238095,1.23655913978,1.28358208955,1.28099173554,1.31395348837,94.0,105.0,93.0,134.0,121.0,86.0,113.0,818.0,246.0,173.0,1.42196531792,230.0,588.0,126.0,507.0,1.8253968254,1.15976331361,633.0,1.29225908373,18,9,40,1,0
23,22.0,14.0,20.0,21.0,23.0,34.0,53.0,28.0,36.0,30.0,43.0,48.0,2.40909090909,2.0,1.8,1.42857142857,1.86956521739,1.41176470588,33.0,24.0,42.0,34.0,15.0,24.0,41.0,28.0,65.0,59.0,19.0,33.0,72.0,69.0,92.0,87.0,71.0,84.0,104.0,87.0,107.0,96.0,94.0,102.0,83.0,79.0,114.0,100.0,63.0,74.0,92.0,87.0,136.0,125.0,70.0,87.0,1.10843373494,1.10126582278,1.19298245614,1.25,1.11111111111,1.17567567568,145.0,115.0,172.0,155.0,113.0,135.0,1.38095238095,1.23655913978,1.28358208955,1.28099173554,1.31395348837,1.25,105.0,93.0,134.0,121.0,86.0,108.0,113.0,835.0,245.0,172.0,1.42441860465,238.0,597.0,134.0,513.0,1.77611940299,1.16374269006,647.0,1.29057187017,18,10,0,1,0
24,14.0,20.0,21.0,23.0,34.0,22.0,28.0,36.0,30.0,43.0,48.0,47.0,2.0,1.8,1.42857142857,1.86956521739,1.41176470588,2.13636363636,24.0,42.0,34.0,15.0,24.0,27.0,28.0,65.0,59.0,19.0,33.0,36.0,69.0,92.0,87.0,71.0,84.0,86.0,87.0,107.0,96.0,94.0,102.0,114.0,79.0,114.0,100.0,63.0,74.0,91.0,87.0,136.0,125.0,70.0,87.0,103.0,1.10126582278,1.19298245614,1.25,1.11111111111,1.17567567568,1.13186813187,115.0,172.0,155.0,113.0,135.0,150.0,1.23655913978,1.28358208955,1.28099173554,1.31395348837,1.25,1.32743362832,93.0,134.0,121.0,86.0,108.0,113.0,112.0,840.0,240.0,166.0,1.44578313253,232.0,608.0,134.0,521.0,1.73134328358,1.1669865643,655.0,1.28244274809,18,10,20,1,0
25,20.0,21.0,23.0,34.0,22.0,31.0,36.0,30.0,43.0,48.0,47.0,65.0,1.8,1.42857142857,1.86956521739,1.41176470588,2.13636363636,2.09677419355,42.0,34.0,15.0,24.0,27.0,31.0,65.0,59.0,19.0,33.0,36.0,40.0,92.0,87.0,71.0,84.0,86.0,82.0,107.0,96.0,94.0,102.0,114.0,118.0,114.0,100.0,63.0,74.0,91.0,82.0,136.0,125.0,70.0,87.0,103.0,93.0,1.19298245614,1.25,1.11111111111,1.17567567568,1.13186813187,1.13414634146,172.0,155.0,113.0,135.0,150.0,158.0,1.28358208955,1.28099173554,1.31395348837,1.25,1.32743362832,1.3982300885,134.0,121.0,86.0,108.0,113.0,113.0,93.0,883.0,252.0,173.0,1.45664739884,269.0,614.0,151.0,524.0,1.78145695364,1.17175572519,675.0,1.30814814815,18,10,40,1,0
26,21.0,23.0,34.0,22.0,31.0,27.0,30.0,43.0,48.0,47.0,65.0,67.0,1.42857142857,1.86956521739,1.41176470588,2.13636363636,2.09677419355,2.48148148148,34.0,15.0,24.0,27.0,31.0,35.0,59.0,19.0,33.0,36.0,40.0,55.0,87.0,71.0,84.0,86.0,82.0,77.0,96.0,94.0,102.0,114.0,118.0,116.0,100.0,63.0,74.0,91.0,82.0,85.0,125.0,70.0,87.0,103.0,93.0,104.0,1.25,1.11111111111,1.17567567568,1.13186813187,1.13414634146,1.22352941176,155.0,113.0,135.0,150.0,158.0,171.0,1.28099173554,1.31395348837,1.25,1.32743362832,1.3982300885,1.52678571429,121.0,86.0,108.0,113.0,113.0,112.0,67.0,882.0,242.0,166.0,1.4578313253,300.0,582.0,158.0,495.0,1.89873417722,1.17575757576,653.0,1.35068912711,18,11,0,1,0
27,23.0,34.0,22.0,31.0,27.0,34.0,43.0,48.0,47.0,65.0,67.0,92.0,1.86956521739,1.41176470588,2.13636363636,2.09677419355,2.48148148148,2.70588235294,15.0,24.0,27.0,31.0,35.0,16.0,19.0,33.0,36.0,40.0,55.0,24.0,71.0,84.0,86.0,82.0,77.0,77.0,94.0,102.0,114.0,118.0,116.0,137.0,63.0,74.0,91.0,82.0,85.0,59.0,70.0,87.0,103.0,93.0,104.0,69.0,1.11111111111,1.17567567568,1.13186813187,1.13414634146,1.22352941176,1.16949152542,113.0,135.0,150.0,158.0,171.0,161.0,1.31395348837,1.25,1.32743362832,1.3982300885,1.52678571429,1.7311827957,86.0,108.0,113.0,113.0,112.0,93.0,92.0,888.0,207.0,148.0,1.39864864865,362.0,526.0,171.0,454.0,2.11695906433,1.15859030837,625.0,1.4208,18,11,20,1,0
28,34.0,22.0,31.0,27.0,34.0,20.0,48.0,47.0,65.0,67.0,92.0,35.0,1.41176470588,2.13636363636,2.09677419355,2.48148148148,2.70588235294,1.75,24.0,27.0,31.0,35.0,16.0,14.0,33.0,36.0,40.0,55.0,24.0,19.0,84.0,86.0,82.0,77.0,77.0,53.0,102.0,114.0,118.0,116.0,137.0,68.0,74.0,91.0,82.0,85.0,59.0,47.0,87.0,103.0,93.0,104.0,69.0,52.0,1.17567567568,1.13186813187,1.13414634146,1.22352941176,1.16949152542,1.10638297872,135.0,150.0,158.0,171.0,161.0,87.0,1.25,1.32743362832,1.3982300885,1.52678571429,1.7311827957,1.29850746269,108.0,113.0,113.0,112.0,93.0,67.0,81.0,862.0,207.0,147.0,1.40816326531,354.0,508.0,168.0,438.0,2.10714285714,1.1598173516,606.0,1.42244224422,18,11,40,1,0
29,22.0,31.0,27.0,34.0,20.0,29.0,47.0,65.0,67.0,92.0,35.0,80.0,2.13636363636,2.09677419355,2.48148148148,2.70588235294,1.75,2.75862068966,27.0,31.0,35.0,16.0,14.0,18.0,36.0,40.0,55.0,24.0,19.0,26.0,86.0,82.0,77.0,77.0,53.0,74.0,114.0,118.0,116.0,137.0,68.0,124.0,91.0,82.0,85.0,59.0,47.0,63.0,103.0,93.0,104.0,69.0,52.0,70.0,1.13186813187,1.13414634146,1.22352941176,1.16949152542,1.10638297872,1.11111111111,150.0,158.0,171.0,161.0,87.0,150.0,1.32743362832,1.3982300885,1.52678571429,1.7311827957,1.29850746269,1.63043478261,113.0,113.0,112.0,93.0,67.0,92.0,89.0,877.0,200.0,141.0,1.41843971631,386.0,491.0,163.0,427.0,2.36809815951,1.14988290398,590.0,1.48644067797,18,12,0,1,0
